184.5#4.5#1443827442.54#01:10, 03. Oct 2015
185.3#4.48#1443834613.38#03:10, 03. Oct 2015
186.3#4.49#1443841783.52#05:09, 03. Oct 2015
185.4#4.49#1443848953.47#07:09, 03. Oct 2015
184.7#4.47#1443856123.45#09:08, 03. Oct 2015
184.0#4.5#1443863293.18#11:08, 03. Oct 2015
186.1#4.48#1443870463.28#13:07, 03. Oct 2015
185.5#4.47#1443875237.55#14:27, 03. Oct 2015
185.5#4.52#1443875245.73#14:27, 03. Oct 2015
189.9#4.47#1443875971.71#14:39, 03. Oct 2015
190.0#4.49#1443883146.27#16:39, 03. Oct 2015
189.8#4.49#1443890323.36#18:38, 03. Oct 2015
188.3#4.49#1443897501.58#20:38, 03. Oct 2015
188.9#4.48#1443904679.15#22:37, 03. Oct 2015
190.0#4.49#1443911854.99#00:37, 04. Oct 2015
190.0#4.48#1443919030.0#02:37, 04. Oct 2015
190.0#4.51#1443926203.73#04:36, 04. Oct 2015
190.0#4.45#1443933376.45#06:36, 04. Oct 2015
190.0#4.45#1443940548.22#08:35, 04. Oct 2015
190.0#4.43#1443947719.57#10:35, 04. Oct 2015
190.0#4.44#1443954891.37#12:34, 04. Oct 2015
190.0#4.45#1443962065.03#14:34, 04. Oct 2015
189.8#4.5#1443976419.29#18:33, 04. Oct 2015
187.9#4.45#1443983596.4#20:33, 04. Oct 2015
189.0#4.42#1443990772.53#22:32, 04. Oct 2015
190.0#4.48#1443997947.82#00:32, 05. Oct 2015
190.0#4.46#1444005121.83#02:32, 05. Oct 2015
190.0#4.43#1444012295.07#04:31, 05. Oct 2015
190.0#4.44#1444019467.64#06:31, 05. Oct 2015
190.0#4.47#1444026639.32#08:30, 05. Oct 2015
190.0#4.48#1444033810.11#10:30, 05. Oct 2015
190.0#4.48#1444040981.54#12:29, 05. Oct 2015
190.0#4.48#1444048155.62#14:29, 05. Oct 2015
190.0#4.47#1444055333.77#16:28, 05. Oct 2015
190.0#4.47#1444062516.19#18:28, 05. Oct 2015
190.0#4.47#1444069700.16#20:28, 05. Oct 2015
190.0#4.44#1444076882.41#22:28, 05. Oct 2015
190.0#4.5#1444084062.86#00:27, 06. Oct 2015
190.0#4.49#1444091241.21#02:27, 06. Oct 2015
190.0#4.49#1444098418.16#04:26, 06. Oct 2015
190.0#4.48#1444105593.69#06:26, 06. Oct 2015
190.0#4.47#1444112767.84#08:26, 06. Oct 2015
189.8#4.47#1444119941.12#10:25, 06. Oct 2015
189.5#4.45#1444127114.7#12:25, 06. Oct 2015
190.0#4.48#1444141464.3#16:24, 06. Oct 2015
190.0#4.44#1444148639.84#18:23, 06. Oct 2015
190.0#4.5#1444155814.97#20:23, 06. Oct 2015
190.0#4.44#1444162989.44#22:23, 06. Oct 2015
190.0#4.49#1444170163.73#00:22, 07. Oct 2015
190.0#4.47#1444177337.82#02:22, 07. Oct 2015
190.0#4.47#1444184511.52#04:21, 07. Oct 2015
190.0#4.44#1444191684.86#06:21, 07. Oct 2015
190.0#4.49#1444198858.17#08:20, 07. Oct 2015
190.0#4.46#1444206031.16#10:20, 07. Oct 2015
190.0#4.48#1444213203.88#12:20, 07. Oct 2015
190.0#4.44#1444220376.62#14:19, 07. Oct 2015
190.0#4.44#1444227549.35#16:19, 07. Oct 2015
185.5#4.46#1444234722.47#18:18, 07. Oct 2015
190.0#4.45#1444241895.58#20:18, 07. Oct 2015
190.0#4.47#1444249068.44#22:17, 07. Oct 2015
190.0#4.44#1444256240.94#00:17, 08. Oct 2015
190.0#4.48#1444263413.05#02:16, 08. Oct 2015
190.0#4.43#1444270584.81#04:16, 08. Oct 2015
190.0#4.42#1444277756.23#06:15, 08. Oct 2015
190.0#4.45#1444284927.46#08:15, 08. Oct 2015
190.0#4.47#1444292098.51#10:14, 08. Oct 2015
